indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a,,,,
foreign_born,Philadelphia,0.111288091,0.104525026,0.115972564,0.11609128,0.124765127,0.119746809,0.126856451,0.130492464,0.131002614,0.147991035,,0.147,0.108,0.198,0.159,86885,112122,34198,0.092,0.078,0.205,0.668,49634,51483,49196,78147,,,,
foreign_born,Phoenix,0.256945376,0.232825681,0.217380119,0.199616276,0.202028739,0.204988853,0.197495622,0.203049358,0.192387593,0.199259957,0.19278574,0.195,0.113,0.315,0.177,97791,193594,31584,0.062,0.121,0.312,0.683,43193,14701,222748,39059,,,,
foreign_born,Pittsburgh,0.074739274,0.065325872,0.064154152,0.061152738,0.074358207,0.079670294,0.082785658,0.075829803,0.092603118,0.087621532,0.087641445,0.088,0.096,0.088,0.065,14873,8651,3045,0.037,0.029,0.404,0.737,7170,2028,4114,12384,,,,
foreign_born,Washington,0.126483107,0.131597934,0.120252077,0.135219777,0.135274338,0.142843136,0.143582866,0.139550731,0.141495147,0.133051955,0.146778256,0.139,0.108,0.181,0.152,39380,45444,13022,0.092,0.076,0.432,0.549,23733,24145,34243,15108,,,,
hh_income,Baltimore,36949,40313,38772,38346,38721,39241,42266,42665,44165,47350,47131,51000,N/A,N/A,N/A,N/A,N/A,N/A,76602,40770,55643,60833,79361,138061,8055,6032,76602,40770,55643,60833
hh_income,Boston,50476,51688,55979,49893,49081,51642,53583,56902,58263,63621,66758,71834,N/A,N/A,N/A,N/A,N/A,N/A,102366,46124,42639,50334,137761,61232,47487,25469,102366,46124,42639,50334
hh_income,Chicago,45505,46911,45734,44776,43628,45214,47099,48734,50702,53006,55295,57238,N/A,N/A,N/A,N/A,N/A,N/A,88381,33769,48211,62446,437114,317820,230411,72754,88381,33769,48211,62446
hh_income,Cleveland,28512,26731,24687,25977,25371,24257,26096,24701,28831,27551,28974,29953,N/A,N/A,N/A,N/A,N/A,N/A,45356,21483,30409,46422,65876,82777,16561,4672,45356,21483,30409,46422
hh_income,Detroit,28097,28730,26098,25787,25193,23600,24820,25769,25980,28099,30344,31283,N/A,N/A,N/A,N/A,N/A,N/A,40551,30364,35147,58707,30010,213825,13766,3480,40551,30364,35147,58707
hh_income,Houston,40856,44315,42945,42355,42877,42847,45353,45460,48064,47793,50896,51203,N/A,N/A,N/A,N/A,N/A,N/A,85121,36888,42791,67975,259286,210811,303258,63126,85121,36888,42791,67975
hh_income,Philadelphia,35365,36976,37045,34400,34207,35386,36836,39043,41233,41449,,46116,N/A,N/A,N/A,N/A,N/A,N/A,64947,33774,32296,56476,239351,249954,70862,39017,64947,33774,32296,56476
hh_income,Phoenix,48061,50140,47085,42260,43960,44153,46601,47929,48452,52062,56696,57957,N/A,N/A,N/A,N/A,N/A,N/A,69259,42632,48622,86239,310893,42403,182768,19910,69259,42632,48622,86239
hh_income,Pittsburgh,32363,36709,37461,36196,35947,39884,42004,41074,41293,44707,45851,47417,N/A,N/A,N/A,N/A,N/A,N/A,59488,23899,48571,30808,97322,31007,3334,7382,59488,23899,48571,30808
hh_income,Washington,54317,57936,59290,60903,63124,66583,67572,71648,75628,75506,82372,85203,N/A,N/A,N/A,N/A,N/A,N/A,142544,45193,72284,116382,117638,124979,27959,11638,142544,45193,72284,116382
labor_force,Baltimore,0.602,0.636,0.615,0.614,0.629,0.624,0.616,0.61,0.601,0.626,0.617,0.625,0.724,0.712,0.176,134246,158500,14825,0.71,0.572,0.755,NA,104492,170135,16656,NA,,,,
labor_force,Boston,0.674,0.696,0.719,0.689,0.673,0.681,0.691,0.676,0.692,0.695,0.696,0.69,0.739,0.798,0.216,211325,182252,17823,0.723,0.657,0.692,0.601,204704,90079,73983,36657,,,,
labor_force,Chicago,0.655,0.663,0.664,0.657,0.663,0.667,0.664,0.659,0.66,0.67,0.667,0.673,0.76,0.774,0.17,657110,774400,59435,0.738,0.584,0.68,0.657,586707,374637,397080,104953,,,,
labor_force,Cleveland,0.597,0.603,0.596,0.604,0.578,0.576,0.595,0.59,0.58,0.59,0.592,0.588,0.723,0.649,0.15,81198,93173,8211,0.616,0.556,0.615,0.677,72989,77833,21253,6587,,,,
labor_force,Detroit,0.536,0.553,0.542,0.547,0.529,0.521,0.529,0.539,0.53,0.552,0.53,0.545,0.689,0.605,0.103,130964,146274,9726,0.527,0.542,0.61,NA,32486,222057,21547,NA,,,,
labor_force,Houston,0.673,0.698,0.688,0.67,0.682,0.682,0.69,0.682,0.681,0.675,0.662,0.67,0.711,0.765,0.228,510528,644924,55956,0.667,0.647,0.689,0.638,316310,265874,519292,91353,,,,
labor_force,Philadelphia,0.59,0.587,0.601,0.579,0.582,0.589,0.597,0.598,0.604,0.597,,0.611,0.708,0.696,0.167,348673,393505,35984,0.645,0.59,0.574,0.622,306005,301998,96814,61000,,,,
labor_force,Phoenix,0.681,0.69,0.674,0.654,0.669,0.657,0.65,0.655,0.647,0.669,0.673,0.685,0.745,0.78,0.197,364663,479060,35198,0.673,0.705,0.692,0.674,403530,65389,346095,32385,,,,
labor_force,Pittsburgh,0.584,0.608,0.617,0.623,0.597,0.629,0.631,0.624,0.614,0.636,0.632,0.628,0.698,0.757,0.184,82171,74677,8685,0.662,0.534,NA,0.539,117390,29330,NA,8448,,,,
labor_force,Washington,0.669,0.68,0.667,0.668,0.674,0.69,0.688,0.689,0.698,0.693,0.705,0.707,0.77,0.812,0.218,192109,203812,18704,0.798,0.603,0.773,0.764,185577,154905,45856,19916,,,,
pre_K,Baltimore,0.424,0.576239625,0.484343257,0.484834649,0.461185873,0.502501959,0.508695158,0.524485205,0.571378971,0.480797805,0.475199812,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Boston,0.767,0.657791328,0.657072298,0.60546993,0.543960859,0.591633879,0.59347118,0.596717044,0.585478464,0.586862833,0.654651449,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Chicago,0.549,0.533542526,0.558877426,0.498340692,0.500759621,0.549329734,0.561451304,0.570398808,0.562744727,0.609335754,0.537302427,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Cleveland,0.389,0.419314064,0.502204842,0.564420302,0.461173559,0.412688092,0.414483821,0.424539463,0.415114683,0.521520515,0.319509407,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Detroit,0.46,0.569822222,0.397006944,0.428063763,0.467358058,0.458688386,0.410072304,0.436479848,0.368716707,0.386460926,0.434450552,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Houston,0.427,0.431906731,0.410768015,0.406144541,0.405234183,0.426358737,0.407851721,0.444654035,0.402069247,0.418546436,0.428717417,0.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Philadelphia,0.484,0.489854273,0.554465999,0.503132302,0.519080003,0.483552781,0.44787715,0.459450372,0.479664589,0.51423542,,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Phoenix,0.308,0.282068724,0.29461702,0.320946566,0.26739458,0.309234396,0.296077577,0.282495667,0.328861633,0.353061017,0.380037895,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Pittsburgh,0.61,0.548649071,0.583457249,0.661180124,0.602423061,0.457780342,0.573007563,0.663909774,0.398438886,0.503950695,0.512323612,0.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
pre_K,Washington,0.678,0.736024632,0.588951493,0.739093533,0.745657568,0.783919267,0.784976397,0.863601978,0.745537386,0.777107728,0.73214683,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Baltimore,0.553503858,0.539796112,0.597693377,0.546152127,0.571938705,0.531803406,0.564397623,0.550147994,0.535416242,0.48941307,0.512678502,0.494,0.495,0.489,0.505,20050,28096,9796,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Boston,0.509436331,0.50187427,0.49769944,0.518830971,0.537377225,0.505887489,0.515173283,0.524124864,0.541153422,0.50465883,0.506231902,0.502,0.499,0.48,0.567,35890,33933,15065,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Chicago,0.526569475,0.518546729,0.54567425,0.549046933,0.548756589,0.523040378,0.510153272,0.532245031,0.5101477,0.493041523,0.489223405,0.486,0.444,0.471,0.638,96808,117922,53302,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Cleveland,0.52714231,0.59339138,0.575849569,0.590692749,0.589317331,0.587191501,0.588146725,0.588010893,0.524322865,0.548643001,0.527778971,0.513,0.477,0.542,0.502,15893,24998,7122,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Detroit,0.628408514,0.661586663,0.679320448,0.697551246,0.69323511,0.671789791,0.661132804,0.653086574,0.643521827,0.624048434,0.587642768,0.569,0.528,0.602,0.55,22691,38775,10164,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Houston,0.50358012,0.472100258,0.502488644,0.496782573,0.504693364,0.499100652,0.477736454,0.496849656,0.504468574,0.516153928,0.496691645,0.501,0.49,0.482,0.642,91119,112328,29455,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Philadelphia,0.539171919,0.541423933,0.550979976,0.588729701,0.581224033,0.569367787,0.575993762,0.574711786,0.563684217,0.533514851,,0.539,0.504,0.548,0.599,51287,67554,23406,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Phoenix,0.519687509,0.51794505,0.527022664,0.558775764,0.517592891,0.537892001,0.492636243,0.50962829,0.498158939,0.486799868,0.475603811,0.469,0.444,0.447,0.671,44458,58122,17936,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Pittsburgh,0.541833099,0.544979062,0.483247173,0.532170046,0.49915153,0.485341302,0.508016048,0.494685175,0.49981599,0.446746344,0.459532935,0.497,0.498,0.468,0.57,17279,12028,5616,NA,NA,NA,NA,NA,NA,NA,NA,,,,
cost_burden,Washington,0.484360038,0.474712194,0.491275958,0.506974726,0.492677184,0.481241993,0.494578575,0.486349881,0.48364748,0.484173199,0.47908628,0.465,0.45,0.44,0.58,29367,29823,13408,NA,NA,NA,NA,NA,NA,NA,NA,,,,
college,Baltimore,0.241,0.247,0.261,0.242,0.275,0.269,0.287,0.3,0.299,0.308,0.306,0.331,0.458,0.298,0.247,52674,66195,20758,0.595,0.175,0.312,0.768,78070,44202,5633,8132,,,,
college,Boston,0.403,0.421,0.447,0.443,0.427,0.433,0.452,0.465,0.466,0.484,0.482,0.514,0.699,0.443,0.327,120021,101227,26921,0.711,0.249,0.261,0.582,166001,28383,21609,26412,,,,
college,Chicago,0.296,0.311,0.331,0.333,0.335,0.345,0.351,0.36,0.366,0.385,0.388,0.394,0.542,0.363,0.254,292731,363462,88833,0.639,0.212,0.165,0.616,451962,114782,78297,83608,,,,
college,Cleveland,0.13,0.133,0.137,0.133,0.147,0.152,0.165,0.151,0.162,0.163,0.17,0.17,0.233,0.154,0.14,14636,22107,7661,0.282,0.076,0.057,0.394,29082,9016,1560,3077,,,,
college,Detroit,0.118,0.108,0.124,0.12,0.13,0.13,0.13,0.138,0.142,0.149,0.146,0.155,0.161,0.148,0.166,16382,35701,15667,0.306,0.134,0.06,0.447,15423,46252,1573,2958,,,,
college,Houston,0.276,0.284,0.279,0.289,0.287,0.297,0.314,0.304,0.309,0.325,0.327,0.329,0.377,0.311,0.308,161566,262224,75671,0.601,0.224,0.134,0.61,255425,77261,80779,75210,,,,
college,Philadelphia,0.211,0.21,0.232,0.226,0.236,0.243,0.252,0.26,0.274,0.286,,0.309,0.451,0.265,0.225,136024,150030,48462,0.451,0.187,0.166,0.431,190179,80664,22108,35253,,,,
college,Phoenix,0.235,0.229,0.247,0.249,0.26,0.267,0.267,0.274,0.266,0.279,0.284,0.289,0.292,0.29,0.28,81686,178454,50070,0.407,0.218,0.104,0.564,219375,16166,39795,24006,,,,
college,Pittsburgh,0.32,0.342,0.326,0.349,0.331,0.384,0.397,0.384,0.413,0.457,0.441,0.438,0.64,0.381,0.289,40168,37640,13621,0.5,0.183,0.383,0.796,70859,8321,2623,7541,,,,
college,Washington,0.475,0.482,0.485,0.501,0.525,0.53,0.551,0.55,0.567,0.568,0.573,0.604,0.739,0.568,0.452,120770,142658,38742,0.926,0.287,0.555,0.856,186579,62794,27572,18179,,,,
poverty,Baltimore,0.2,0.193,0.21,0.256,0.251,0.248,0.233,0.236,0.229,0.219,0.222,0.184,0.2,0.179,0.145,55757,39447,11869,0.095,0.229,0.143,0.176,15171,82430,4590,2464,,,,
poverty,Boston,0.204,0.187,0.169,0.233,0.232,0.216,0.216,0.226,0.205,0.21,0.187,0.182,0.213,0.135,0.182,73608,30686,14652,0.106,0.211,0.281,0.251,29907,35003,37707,15110,,,,
poverty,Chicago,0.205,0.206,0.216,0.225,0.237,0.239,0.23,0.22,0.209,0.191,0.186,0.174,0.201,0.145,0.155,264773,143936,52690,0.086,0.279,0.161,0.21,74857,217153,123764,37193,,,,
poverty,Cleveland,0.295,0.305,0.35,0.34,0.343,0.361,0.369,0.392,0.347,0.35,0.331,0.331,0.397,0.289,0.22,71059,40831,11750,0.221,0.404,0.366,0.239,27789,71926,17013,2645,,,,
poverty,Detroit,0.338,0.333,0.364,0.376,0.408,0.423,0.407,0.393,0.398,0.357,0.345,0.334,0.389,0.305,0.21,127956,73201,19274,0.354,0.329,0.373,0.183,24429,169324,19405,1782,,,,
poverty,Houston,0.207,0.195,0.206,0.228,0.238,0.235,0.224,0.224,0.212,0.208,0.206,0.204,0.249,0.152,0.152,302218,127396,36804,0.1,0.245,0.249,0.144,54143,125043,257735,23909,,,,
poverty,Philadelphia,0.238,0.241,0.25,0.267,0.284,0.269,0.263,0.26,0.258,0.257,,0.245,0.285,0.217,0.175,218496,122095,36525,0.141,0.294,0.378,0.21,73553,189534,88881,23308,,,,
poverty,Phoenix,0.178,0.189,0.211,0.225,0.229,0.241,0.236,0.233,0.223,0.203,0.168,0.156,0.189,0.126,0.101,161385,76740,17798,0.098,0.186,0.206,0.095,68067,22346,146077,5398,,,,
poverty,Pittsburgh,0.21,0.212,0.231,0.267,0.238,0.211,0.227,0.238,0.23,0.192,0.202,0.205,0.261,0.152,0.147,35921,14789,6623,0.147,0.312,0.206,0.394,26770,20351,1964,5861,,,,
poverty,Washington,0.164,0.172,0.184,0.192,0.187,0.182,0.189,0.177,0.173,0.186,0.166,0.162,0.184,0.129,0.167,62091,32007,13957,0.064,0.253,0.13,0.087,15767,77830,9862,2109,,,,
deep_poverty,Baltimore,0.09434378,0.092415452,0.107804918,0.126700425,0.127862378,0.116893298,0.12520007,0.11974256,0.117032767,0.10409655,0.111532597,0.098,N/A,N/A,N/A,N/A,N/A,N/A,0.051,0.122,0.074,0.072,8172.954,43874.006,2367.26,1008.216,,,,
deep_poverty,Boston,0.105421219,0.084116676,0.084598631,0.125904548,0.120034039,0.118264586,0.115307016,0.120878224,0.102264306,0.104852045,0.095077437,0.09,N/A,N/A,N/A,N/A,N/A,N/A,0.061,0.08,0.12,0.164,17288.803,13289.52,16093.68,9889.036,,,,
