indicator,city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
unemployment,Baltimore,0.102,0.112,0.106,0.102,0.097,0.086,0.075,0.066,0.063,0.057,0.051,0.085004078,0.069726263,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Boston,0.075,0.075,0.065,0.06,0.061,0.052,0.044,0.035,0.034,0.03,0.026,0.097811626,0.056114686,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Chicago,0.111,0.112,0.108,0.1,0.1,0.078,0.066,0.064,0.053,0.042,0.04,0.114799013,0.075287852,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Cleveland,0.106,0.108,0.097,0.087,0.088,0.078,0.066,0.071,0.073,0.065,0.052,0.137295775,0.081459341,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Detroit,0.251,0.248,0.211,0.192,0.189,0.161,0.118,0.108,0.096,0.09,0.088,0.219322667,0.132498342,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Houston,0.073,0.08,0.076,0.064,0.059,0.048,0.043,0.05,0.049,0.042,0.037,0.089576769,0.062979888,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Philadelphia,0.097,0.106,0.107,0.109,0.103,0.081,0.071,0.068,0.062,0.055,0.055,0.122437027,0.085117578,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Phoenix,0.107,0.105,0.091,0.078,0.069,0.061,0.054,0.048,0.043,0.043,0.041,0.079213392,0.050218446,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Pittsburgh,0.071,0.08,0.075,0.074,0.068,0.056,0.052,0.053,0.049,0.042,0.043,0.094065376,0.058600716,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
unemployment,Washington,0.093,0.094,0.102,0.09,0.085,0.078,0.069,0.061,0.061,0.056,0.055,0.078975708,0.067798986,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
commute,Baltimore,0.169979602,0.1764346,0.174636675,0.192140565,0.187517167,0.185965412,0.195617501,0.172983895,0.188057497,0.162,0.154,,0.084,n/a,n/a,n/a,n/a,n/a,n/a,0.023458553,0.132706839,0.038771775,0.039081949,2209,18209,552,309
commute,Boston,0.345270144,0.32823461,0.325677135,0.34644193,0.330344055,0.339500216,0.345145271,0.327638474,0.350134691,0.322,0.32,,0.176,n/a,n/a,n/a,n/a,n/a,n/a,0.064910678,0.044153334,0.041514689,0.017942789,22703,15442,14520,6275
