indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,white,black,hispanic,asian,white_a,black_a,hispanic_a,asian_a
hh_income,Philadelphia,35365,36976,37045,34400,34207,35386,36836,39043,41233,41449,39759,,N/A,N/A,N/A,N/A,N/A,N/A,50933,35038,25340,50673,253024,236333,71465,37549
hh_income,Phoenix,48061,50140,47085,42260,43960,44153,46601,47929,48452,52062,56696,,N/A,N/A,N/A,N/A,N/A,N/A,66571,40571,45931,84987,304360,39548,175347,20587
hh_income,Pittsburgh,32363,36709,37461,36196,35947,39884,42004,41074,41293,44707,45851,,N/A,N/A,N/A,N/A,N/A,N/A,55683,22010,46597,47433,93527,29156,3334,7881
hh_income,Washington,54317,57936,59290,60903,63124,66583,67572,71648,75628,75506,82372,,N/A,N/A,N/A,N/A,N/A,N/A,134358,42161,84728,96394,118453,123860,21224,11194
labor_force,Baltimore,0.68840273,0.636,0.615,0.614,0.629,0.624,0.616,0.61,0.601,0.626,0.703772833,,0.710964646,0.697754559,0.176979358,134838,158137,14610,0.775879069,0.671199375,NA,NA,101770,176080,NA,NA
labor_force,Boston,0.749069036,0.696,0.719,0.689,0.673,0.681,0.691,0.676,0.692,0.695,0.774099815,,0.75346541,0.799360693,0.195414083,211228,183052,15630,0.820096985,0.768114611,0.759953422,0.618171662,204328,96140,76452,32755
labor_force,Chicago,0.732771705,0.663,0.664,0.657,0.663,0.667,0.664,0.659,0.66,0.67,0.755257261,,0.755658906,0.754907483,0.16948439,661296,758602,56360,0.823756766,0.689343464,0.737073075,0.745102588,574433,376884,397452,103666
labor_force,Cleveland,0.691894134,0.603,0.596,0.604,0.578,0.576,0.595,0.59,0.58,0.59,0.688925504,,0.710645164,0.672934461,0.127330777,76631,98560,6740,0.734427559,0.669804067,0.653466973,NA,69670,82792,20113,NA
labor_force,Detroit,0.609276964,0.553,0.542,0.547,0.529,0.521,0.529,0.539,0.53,0.552,0.619657069,,0.659240382,0.587921684,0.118065554,126499,140712,11152,0.610698584,0.626375146,0.584388704,NA,30637,221732,16993,NA
labor_force,Houston,0.73548512,0.698,0.688,0.67,0.682,0.682,0.69,0.682,0.681,0.675,0.732850004,,0.711268525,0.751122189,0.217490411,501349,625328,53527,0.776209656,0.714452143,0.719509014,0.718223542,320881,268454,495047,82324
