indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
foreign_born,Philadelphia,0.111288091,0.104525026,0.115972564,0.11609128,0.124765127,0.119746809,0.126856451,0.130492464,0.131002614,0.147991035,,0.147,0.139806,0.142824263,0.14960054,0.157331467,0.150855636,0.160911383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Phoenix,0.256945376,0.232825681,0.217380119,0.199616276,0.202028739,0.204988853,0.197495622,0.203049358,0.192387593,0.199259957,0.19278574,0.195,0.200687,0.193319312,0.185461229,0.196226229,0.195926671,0.193733631,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Pittsburgh,0.074739274,0.065325872,0.064154152,0.061152738,0.074358207,0.079670294,0.082785658,0.075829803,0.092603118,0.087621532,0.087641445,0.088,0.090279,0.09005065,0.086053106,0.082256813,0.098814855,0.089257971,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
foreign_born,Washington,0.126483107,0.131597934,0.120252077,0.135219777,0.135274338,0.142843136,0.143582866,0.139550731,0.141495147,0.133051955,0.146778256,0.139,0.120911,0.134183032,0.133163197,0.148701331,0.140558079,0.15456319,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Baltimore,36949,40313,38772,38346,38721,39241,42266,42665,44165,47350,47131,51000,50177,,54652,55198,59579,64778,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Boston,50476,51688,55979,49893,49081,51642,53583,56902,58263,63621,66758,71834,79018,,79283,86331,96931,97791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Chicago,45505,46911,45734,44776,43628,45214,47099,48734,50702,53006,55295,57238,61811,,66576,70386,74474,80613,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Cleveland,28512,26731,24687,25977,25371,24257,26096,24701,28831,27551,28974,29953,32053,,35562,37351,39041,43383,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Detroit,28097,28730,26098,25787,25193,23600,24820,25769,25980,28099,30344,31283,33965,,36140,36453,38080,39209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Houston,40856,44315,42945,42355,42877,42847,45353,45460,48064,47793,50896,51203,52450,,55499,60426,62637,64361,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Philadelphia,35365,36976,37045,34400,34207,35386,36836,39043,41233,41449,,46116,47474,,52899,56517,60302,60521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Phoenix,48061,50140,47085,42260,43960,44153,46601,47929,48452,52062,56696,57957,60931,,68435,75969,79664,85246,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Pittsburgh,32363,36709,37461,36196,35947,39884,42004,41074,41293,44707,45851,47417,53799,,57821,63380,66219,66954,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hh_income,Washington,54317,57936,59290,60903,63124,66583,67572,71648,75628,75506,82372,85203,92266,,90088,101027,108210,109707,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
labor_force,Baltimore,0.602,0.636,0.615,0.614,0.629,0.624,0.616,0.61,0.601,0.626,0.617,0.625,0.624087651,0.621629759,0.623167901,0.629387538,0.641075512,0.664315114,0.407470732,0.534095265,0.058434003,120113,157439,17225,0.320633194,0.547649935,0.073912208,0.030132626,94515.291,161434.605,21787.619,8882.405
labor_force,Boston,0.674,0.696,0.719,0.689,0.673,0.681,0.691,0.676,0.692,0.695,0.696,0.69,0.71218193,0.698397305,0.692664308,0.704058213,0.713265748,0.69152325,0.49573407,0.456989448,0.047276482,199703,184095,19045,0.508416132,0.187526813,0.170533242,0.096911938,204811.88,75543.864,68698.123,39040.296
